[?? ?? 19 17:28:48 2012] Priorite 3		Exception non throw : Attention: pertes d'informations! Veuillez passer en reel!
[?? ?? 19 17:31:10 2012] Priorite 2		OperationException : Operation binaire sur un seul element!
[?? ?? 19 17:31:20 2012] Priorite 2		OperationException : Indice de swap incorrects
[?? ?? 21 00:00:54 2012] Priorite 2		OperationException : Pile vide!
[?? ?? 21 12:31:22 2012] Priorite 2		OperationException : Pile vide!
[?? ?? 21 12:31:23 2012] Priorite 2		OperationException : Pile vide!
[?? ?? 21 12:31:24 2012] Priorite 2		OperationException : Pile vide!
[?? ?? 21 12:31:24 2012] Priorite 2		OperationException : Pile vide!
[?? ?? 21 12:31:24 2012] Priorite 2		OperationException : Pile vide!
[?? ?? 21 12:31:24 2012] Priorite 2		OperationException : Pile vide!
[?? ?? 21 12:31:24 2012] Priorite 2		OperationException : Pile vide!
[?? ?? 21 12:31:24 2012] Priorite 2		OperationException : Pile vide!
[?? ?? 21 12:31:24 2012] Priorite 2		OperationException : Pile vide!
[?? ?? 21 12:31:24 2012] Priorite 2		OperationException : Pile vide!
[?? ?? 21 12:31:24 2012] Priorite 2		OperationException : Pile vide!
[?? ?? 21 12:31:24 2012] Priorite 2		OperationException : Pile vide!
[?? ?? 21 12:31:24 2012] Priorite 2		OperationException : Pile vide!
[?? ?? 21 12:31:24 2012] Priorite 2		OperationException : Pile vide!
[?? ?? 21 12:31:24 2012] Priorite 2		OperationException : Pile vide!
